,id,name,matchType,status,venue,date,dateTimeGMT,teams,teamInfo,score,series_id,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded
204,0a2f4fd1-eb88-4e99-a527-71a8a34775a4,"Trichy Grand Cholas vs Vida Kovai Kings, Qualifier 2, Tamil Nadu Premier League 2026",t20,Vida Kovai Kings won by 84 runs,"MA Chidambaram Stadium, Chennai",2026-08-26,2026-08-26T14:00:00,"['Trichy Grand Cholas', 'Vida Kovai Kings']","[{'name': 'Trichy Grand Cholas', 'shortname': 'TGC', 'img': 'https://h.cricapi.com/img/icon512.png'}, {'name': 'Vida Kovai Kings', 'img': 'https://h.cricapi.com/img/icon512.png'}]","[{'r': 183, 'w': 5, 'o': 20, 'inning': 'vida kovai kings Inning 1'}, {'r': 99, 'w': 10, 'o': 15.4, 'inning': 'Trichy Grand Cholas,Vida Kovai Kings Inning 1'}]",6c3c5876-5cfc-4490-9c8e-8ba90aec4323,False,False,True,True,True
205,bb130949-5eaa-46ff-89d5-883839da1e3a,"Vida Kovai Kings vs IDream Tiruppur Tamizhans, Eliminator, Tamil Nadu Premier League 2026",t20,No result due to rain,"MA Chidambaram Stadium, Chennai",2026-08-24,2026-08-24T14:00:00,"['Vida Kovai Kings', 'IDream Tiruppur Tamizhans']","[{'name': 'IDream Tiruppur Tamizhans', 'shortname': 'ITT', 'img': 'https://g.cricapi.com/iapi/181-637945148142038694.webp?w=48'}, {'name': 'Vida Kovai Kings', 'img': 'https://h.cricapi.com/img/icon512.png'}]","[{'r': 15, 'w': 0, 'o': 3, 'inning': 'IDream Tiruppur Tamizhans Inning 1'}]",6c3c5876-5cfc-4490-9c8e-8ba90aec4323,False,False,True,True,True
206,7d79a71a-0bd5-41eb-8920-6eae1081ba7e,"Madurai Panthers vs Trichy Grand Cholas, Qualifier 1, Tamil Nadu Premier League 2026",t20,No result due to rain - Madurai Panthers opt to bowl,"MA Chidambaram Stadium, Chennai",2026-08-23,2026-08-23T14:00:00,"['Madurai Panthers', 'Trichy Grand Cholas']","[{'name': 'Madurai Panthers', 'shortname': 'MP', 'img': 'https://g.cricapi.com/iapi/217-637940203723122310.webp?w=48'}, {'name': 'Trichy Grand Cholas', 'shortname': 'TGC', 'img': 'https://h.cricapi.com/img/icon512.png'}]","[{'r': 50, 'w': 1, 'o': 4.5, 'inning': 'Trichy Grand Cholas Inning 1'}]",6c3c5876-5cfc-4490-9c8e-8ba90aec4323,False,False,True,True,True
207,2b5a029a-aa13-4d1b-9bbe-cb6446ee7e9b,"Durham vs Gloucestershire, 40th Match, County Championship Division Two 2026",test,Day 1: 2nd Session - Durham opt to bowl,"Riverside Ground, Chester-le-Street",2026-08-27,2026-08-27T10:00:00,"['Durham', 'Gloucestershire']","[{'name': 'Durham', 'shortname': 'DURH', 'img': 'https://g.cricapi.com/iapi/1118-637889090599643548.webp?w=48'}, {'name': 'Gloucestershire', 'shortname': 'GLOU', 'img': 'https://g.cricapi.com/iapi/1121-637885550747990018.webp?w=48'}]","[{'r': 106, 'w': 5, 'o': 30, 'inning': 'Gloucestershire Inning 1'}]",dfe730c5-873d-44ce-955c-00d82716749b,False,False,True,True,False
208,cb970852-df8b-48bf-8b2f-7098db5e19d9,"Essex vs Surrey, 47th Match, County Championship Division One 2026",test,Day 1: 2nd Session - Essex opt to bowl,"The Ambassador Cruise Line Ground, Chelmsford",2026-08-27,2026-08-27T10:00:00,"['Essex', 'Surrey']","[{'name': 'Essex', 'shortname': 'ESX', 'img': 'https://g.cricapi.com/iapi/1119-637885549753088458.webp?w=48'}, {'name': 'Surrey', 'shortname': 'SUR', 'img': 'https://g.cricapi.com/iapi/1133-637885552361099530.webp?w=48'}]","[{'r': 16, 'w': 1, 'o': 6, 'inning': 'Surrey Inning 1'}]",fc9cfc65-4ff6-47c4-baa2-05cc39830e5a,False,False,True,True,False
209,80b734be-dda7-4fbf-bd08-f00321aeb492,"Yorkshire vs Leicestershire, 48th Match, County Championship Division One 2026",test,Day 1: 2nd Session - Leicestershire opt to bowl,"North Marine Road Ground, Scarborough",2026-08-27,2026-08-27T10:00:00,"['Yorkshire', 'Leicestershire']","[{'name': 'Leicestershire', 'shortname': 'LECS', 'img': 'https://g.cricapi.com/iapi/1126-637889090878436462.webp?w=48'}, {'name': 'Yorkshire', 'shortname': 'YRK', 'img': 'https://g.cricapi.com/iapi/1139-637885552795894277.webp?w=48'}]","[{'r': 98, 'w': 2, 'o': 32.3, 'inning': 'Yorkshire Inning 1'}]",fc9cfc65-4ff6-47c4-baa2-05cc39830e5a,False,False,True,True,False
210,72c97402-850a-40a1-93d7-d0466af31471,"Glamorgan vs Hampshire, 49th Match, County Championship Division One 2026",test,Day 1: 2nd Session - Glamorgan opt to bowl,"Sophia Gardens, Cardiff",2026-08-27,2026-08-27T10:00:00,"['Glamorgan', 'Hampshire']","[{'name': 'Glamorgan', 'shortname': 'GLAM', 'img': 'https://g.cricapi.com/iapi/1120-637889090390357869.webp?w=48'}, {'name': 'Hampshire', 'shortname': 'HAM', 'img': 'https://g.cricapi.com/iapi/1122-637885550993657486.webp?w=48'}]","[{'r': 107, 'w': 5, 'o': 25.1, 'inning': 'Hampshire Inning 1'}]",fc9cfc65-4ff6-47c4-baa2-05cc39830e5a,False,False,True,True,False
211,3c647e81-d74e-47a3-90fb-e1d3f451d5f6,"Sussex vs Somerset, 50th Match, County Championship Division One 2026",test,Day 1: 2nd Session - Sussex opt to bowl,"County Ground, Hove",2026-08-27,2026-08-27T10:00:00,"['Sussex', 'Somerset']","[{'name': 'Somerset', 'shortname': 'SOM', 'img': 'https://g.cricapi.com/iapi/1131-637885552070524344.webp?w=48'}, {'name': 'Sussex', 'shortname': 'SUSS', 'img': 'https://g.cricapi.com/iapi/1134-637889091814592518.webp?w=48'}]","[{'r': 96, 'w': 5, 'o': 31.3, 'inning': 'Somerset Inning 1'}]",fc9cfc65-4ff6-47c4-baa2-05cc39830e5a,False,False,True,True,False
212,cc1c57c0-7ecf-4556-8465-47bbac896427,"England vs Pakistan, 2nd Test, Pakistan tour of England 2026",test,Day 1: 1st Session - Pakistan opt to bowl,"Lord's, London",2026-08-27,2026-08-27T10:00:00,"['England', 'Pakistan']","[{'name': 'England', 'shortname': 'ENG', 'img': 'https://g.cricapi.com/iapi/23-637877072894080569.webp?w=48'}, {'name': 'Pakistan', 'shortname': 'PAK', 'img': 'https://g.cricapi.com/iapi/66-637877075103236690.webp?w=48'}]","[{'r': 78, 'w': 4, 'o': 17.2, 'inning': 'England Inning 1'}]",4f8f04e8-8c11-402d-9bc3-48c09603d9d8,False,False,True,True,False
213,d7ad6f40-5f17-4a8e-8552-044453e33b43,"Luxembourg Women vs Belgium Women, 4th T20I, Belgium Women tour of Luxembourg, 2026",t20,Luxembourg Women won by 47 runs,"Pierre Werner Cricket Ground, Walferdange",2026-08-23,2026-08-23T13:30:00,"['Luxembourg Women', 'Belgium Women']","[{'name': 'Belgium Women', 'shortname': 'BW', 'img': 'https://h.cricapi.com/img/icon512.png'}, {'name': 'Luxembourg Women', 'shortname': 'LW', 'img': 'https://g.cricapi.com/iapi/623-637869397000752571.webp?w=48'}]","[{'r': 194, 'w': 0, 'o': 20, 'inning': 'Luxembourg Women Inning 1'}, {'r': 147, 'w': 8, 'o': 20, 'inning': 'Belgium Women Inning 1'}]",2959c81f-9df4-41f8-b9d7-f316975d9677,False,False,False,True,True
